,Institute,Latitude,Longtitude,City,Country,Groups/Labs
107,Hobart and William Smith Colleges,42.86548285,-76.98075684493965,City of Geneva New York, USA,1
108,International Institute of Physics,-5.805398,-35.2080905,Natal, Brazil,1
109,University of California Riverside,33.96370575,-117.33978065170642,Riverside California, USA,1
110,University of Washington,47.6038321,-122.3300624,Seattle Washington, USA,1
111,Marquette University,43.0349931,-87.922497,Milwaukee Wisconsin, USA,1
112,Indian Institute of Technology Palaj,23.2219327,72.7287599,Gandhinagar, India,1
113,Indian Institute of Technology Hyderabad,17.613422399999997,78.10216501452837,Sangareddy, India,1
114,Indian Institute of Science Education and Research,18.521428,73.8544541,Pune, India,1
115,Andrews University,41.9464336,-86.3388965,Berrien Springs Michigan, USA,1
116,Tata Institute of Fundamental Research,18.9792365,72.8127667,Mumbai, India,1
117,Concordia University Wisconsin,43.2219088,-87.9822969,Mequon Wisconsin, USA,1
118,Center for Computational Astrophysics,40.7404832,-73.9905849,New York New York, USA,1
